hotel_name,rating,review_count,hotel_rank,amenities,languages,hotel_class,price,best_price_source,restraunts_nearby,attractions_nearby,good_for_walkers_out_of_100,lat_long_link,best_features_as_per_reviews,city,cuisines,restaurant_names,lat,lon
MOLIA Canary Wharf,,,,[],['None'],[],,,,,,,[],London,{},[],44.933143,7.540121000000001
Victorian House 2 Bed/2 Bath Next to Barbican Tube,,,,[],['None'],[],,,,,,,[],London,{},[],44.933143,7.540121000000001
Groot Rooms,,,,[],['None'],[],,,52.0,15.0,92.0,"290-294 Hackney Road, London E2 7SJ England",[],London,{},[],51.5308158,-0.072308
Princes Gate Mansions,,,,[],['None'],[],,,107.0,32.0,98.0,"53 Princes Gate, London SW7 2PH England",[],London,{},[],51.5015983,-0.1736828
Piccadilly Circus & Theatreland Apartments,,,,[],['None'],[],,,1164.0,391.0,100.0,"49 Rupert Street Soho, London W1D 7PF England",[],London,{},[],51.5119755,-0.1335372
Kensal Lodge,,,,[],['None'],[],5750.0,Booking.com,79.0,8.0,76.0,"2A College Road, London NW10 5EN England",[],London,{},[],51.53116775,-0.2253263529595109
Fieldgate Spacious Rooms,,,,[],['None'],[],,,136.0,20.0,100.0,"52B Fieldgate Street, London E1 1ES England",[],London,{},[],51.517031599999996,-0.0645452
IWAAN Studios-Bayswater,,,,[],['None'],[],,,160.0,17.0,100.0,"12 Leinster Gardens, London W2 6DR England",[],London,{},[],51.5143624,-0.1837186029126201
Acorn - Bedford Place Apartments,,,,[],['None'],[],,,,,,,[],London,{},[],44.933143,7.540121000000001
Paddington Hyde Park Apartment,,,,[],['None'],[],,,,,,,[],London,{},[],44.933143,7.540121000000001
