city,lat,lon
Tokyo,139.79326,35.63465
Tokyo,139.7024,35.72807
Tokyo,139.70352,35.69355
Tokyo,139.88333,35.7
Tokyo,13.137206,49.063738
Tokyo,139.6990749,35.6883635
Tokyo,,
Tokyo,139.79837565000003,35.706531
Tokyo,139.72607,35.62677
Tokyo,139.78628,35.69322
Tokyo,139.82065,35.70299
Tokyo,4.842847,45.759121
Tokyo,139.74888,35.70019
Tokyo,139.718399,35.688
Tokyo,139.70800074800724,35.729674200000005
Tokyo,139.7498924,35.654237
Tokyo,139.76328,35.68146
Tokyo,139.759718,35.675018
Tokyo,4.842847,45.759121
Tokyo,141.16667,41.4
Tokyo,141.16667,41.4
Tokyo,141.16667,41.4
Tokyo,4.842847,45.759121
Tokyo,139.736377,35.677147
Tokyo,4.842847,45.759121
Tokyo,139.468497,36.206915
Tokyo,139.7725918,35.6680848
Tokyo,139.723813,35.659635
Tokyo,,
Tokyo,139.652966,35.70293
Tokyo,139.717125,35.564427
Tokyo,139.73044,35.63212
Tokyo,4.842847,45.759121
Tokyo,4.842847,45.759121
Tokyo,,
Tokyo,139.85647,35.7254
Tokyo,4.842847,45.759121
Tokyo,-74.084901,4.596454
Tokyo,139.78128,35.74804
Tokyo,4.842847,45.759121
Tokyo,4.842847,45.759121
Tokyo,4.842847,45.759121
Tokyo,141.16667,41.4
Tokyo,84.35582,20.15165
Tokyo,139.717125,35.564427
Tokyo,139.7861,35.68704
Tokyo,4.842847,45.759121
Tokyo,139.83014,35.67112
Tokyo,139.79787,35.77561
Tokyo,-74.074894,4.595523
Tokyo,-150.856409,60.511034
Tokyo,139.747772,35.668983
Tokyo,139.8128217,35.7106337
Tokyo,139.729208,35.619269
Tokyo,4.842847,45.759121
Tokyo,139.7069,35.78489
Tokyo,139.749069,35.684072
Tokyo,14.164291,42.348645
Tokyo,141.16667,41.4
Tokyo,141.16667,41.4
Tokyo,139.70352,35.69355
Tokyo,139.788313,35.649676
Tokyo,,
